haircut_name,face_shape,gender,hair_ratio,vertical_extent,hair_width,coverage_top,texture_estimate
Buzz Cut,S,Male,0.580688687,0.26875,261,17.90364583,23.97458552
Buzz Cut,S,Male,0.485480998,0.177083333,263,18.92057292,21.52412392
Buzz Cut,S,Male,0.483086422,0.177083333,264,18.85677083,21.7573285
Buzz Cut,S,Male,0.49334982,0.177083333,259,18.72916667,23.33107889
Buzz Cut,S,Male,0.482645508,0.175,262,18.7890625,21.860519
Buzz Cut,S,Male,0.486100099,0.177083333,259,17.93489583,21.8234487
Buzz Cut,S,Male,0.490136621,0.177083333,259,17.67317708,21.98524497
Buzz Cut,D,Male,0.333025471,0.129166667,239,5.751302083,27.77954162
Buzz Cut,D,Male,0.352312672,0.125,220,7.145833333,31.3190407
Buzz Cut,D,Male,0.385054401,0.133333333,218,6.845052083,31.27113465
Buzz Cut,D,Male,0.358808988,0.1125,239,6.44921875,32.74811433
Buzz Cut,D,Male,0.37273343,0.116666667,224,7.186197917,31.18534927
Buzz Cut,D,Male,0.348215954,0.1125,240,7.3125,33.88005565
Buzz Cut,D,Male,0.342642752,0.120833333,241,7.614583333,31.73676248
Buzz Cut,D,Male,0.338991355,0.114583333,235,7.645833333,32.86527222
Buzz Cut,D,Male,0.341945645,0.108333333,224,7.44140625,32.28144446
Buzz Cut,D,Male,0.341917011,0.10625,223,7.067708333,30.64085447
Buzz Cut,S,Male,0.274984666,0.0875,201,3.73828125,18.79694019
Buzz Cut,S,Male,0.29551212,0.097916667,202,5.041666667,18.81257685
Buzz Cut,S,Male,0.277958943,0.077083333,200,4.529947917,17.88166545
Buzz Cut,S,Male,0.287920495,0.0875,200,4.415364583,18.07232191
Buzz Cut,S,Male,0.381673532,0.154166667,200,5.108072917,17.30887899
Buzz Cut,S,Male,0.285074694,0.083333333,199,4.985677083,17.65035587
Buzz Cut,S,Male,0.295219,0.097916667,204,5.248697917,17.62875907
Buzz Cut,S,Male,0.326580163,0.114583333,204,5.598958333,17.07873174
Buzz Cut,S,Male,0.307535037,0.1,201,5.614583333,17.80751507
Buzz Cut,S,Male,0.290933411,0.089583333,201,5.475260417,18.50547871
French Crop,R,Male,0.612524972,0.127083333,265,19.82682292,41.96351085
French Crop,R,Male,0.600448064,0.120833333,267,19.4296875,39.3808609
French Crop,R,Male,0.585104579,0.125,266,17.26432292,43.2546975
French Crop,R,Male,0.601661538,0.122916667,260,17.29947917,42.73331407
